experiment_name,method_name,response_window,delivery_window_extension,resource_count,order_density_ratio,acceptance_rate,acceptance_rate_gap_to_0_80,on_time_rate,on_time_rate_gap_to_0_50,late_orders,average_lateness,max_lateness,total_energy_consumption,total_flight_distance,hard_constraint_violations,reached_80_acceptance,reached_50_on_time,reached_both_targets,recommendation
response_window_5.0,oracle_best_acceptance,5.0,0.0,1,1.0,0.9644444444444444,-0.1644444444444444,0.2695852534562212,0.2304147465437788,634,85.99367881962709,228.14649210298393,294.767422941965,4743.374039836228,0,True,False,False,acceptance_target_only
response_window_5.0,oracle_best_on_time,5.0,0.0,1,1.0,0.9555555555555556,-0.15555555555555556,0.21395348837209302,0.28604651162790695,676,40.951802143464874,136.77838646680428,222.17119746467998,3121.492776878178,4,True,False,False,invalid_hard_constraint_violation
response_window_5.0,tail_risk_constrained_joint_beam,5.0,0.0,1,1.0,0.6022222222222222,0.19777777777777783,0.33948339483394835,0.16051660516605165,358,13.041834648165315,41.07310244554492,122.990215170696,1777.2592678773065,0,False,False,False,anchor_locked_safety_reference
response_window_8.0,raw_baseline,8.0,0.0,1,1.0,0.6066666666666667,0.19333333333333336,0.32783882783882784,0.17216117216117216,367,13.11429295951538,38.92009900114254,124.2179766825019,1790.257450002696,0,False,False,False,below_target
response_window_8.0,v2_repair_only,8.0,0.0,1,1.0,0.6,0.20000000000000007,0.3685185185185185,0.13148148148148148,341,13.865603836997895,51.39000578857245,125.4184628414727,1801.5718888316542,0,False,False,False,below_target
response_window_8.0,oracle_best_acceptance,8.0,0.0,1,1.0,0.9977777777777778,-0.19777777777777772,0.2650334075723831,0.23496659242761692,660,92.30316363810157,232.38391556670214,314.66054425576993,5107.620818311108,0,True,False,False,acceptance_target_only
response_window_8.0,oracle_best_on_time,8.0,0.0,1,1.0,1.0,-0.19999999999999996,0.20333333333333334,0.29666666666666663,717,41.96974042798543,136.77838646680428,234.28225702627316,3286.922186344862,4,True,False,False,invalid_hard_constraint_violation
response_window_8.0,tail_risk_constrained_joint_beam,8.0,0.0,1,1.0,0.6066666666666667,0.19333333333333336,0.32783882783882784,0.17216117216117216,367,13.11429295951538,38.92009900114254,124.2179766825019,1790.257450002696,0,False,False,False,anchor_locked_safety_reference
response_window_10.0,raw_baseline,10.0,0.0,1,1.0,0.61,0.19000000000000006,0.33879781420765026,0.16120218579234974,363,13.061042566121033,38.92009900114254,122.75499390191855,1771.090833823647,0,False,False,False,below_target
response_window_10.0,v2_repair_only,10.0,0.0,1,1.0,0.6011111111111112,0.1988888888888889,0.37153419593345655,0.12846580406654345,340,13.71211877093814,51.39000578857245,125.4548582215035,1804.0883597407728,0,False,False,False,below_target
response_window_10.0,oracle_best_acceptance,10.0,0.0,1,1.0,0.9988888888888889,-0.1988888888888889,0.26696329254727474,0.23303670745272526,659,90.05402362746605,232.38391556670214,307.67985062255985,4982.620558509363,0,True,False,False,acceptance_target_only
response_window_10.0,oracle_best_on_time,10.0,0.0,1,1.0,1.0,-0.19999999999999996,0.20333333333333334,0.29666666666666663,717,41.96974042798543,136.77838646680428,234.28225702627316,3286.922186344862,4,True,False,False,invalid_hard_constraint_violation
response_window_10.0,tail_risk_constrained_joint_beam,10.0,0.0,1,1.0,0.61,0.19000000000000006,0.33879781420765026,0.16120218579234974,363,13.061042566121033,38.92009900114254,122.75499390191855,1771.090833823647,0,False,False,False,anchor_locked_safety_reference
delivery_window_original,raw_baseline,original,0.0,1,1.0,0.5244444444444445,0.27555555555555555,0.3241525423728814,0.17584745762711862,319,12.837166596299626,35.93654589246437,112.03286860151536,1650.194940149784,0,False,False,False,below_target
delivery_window_original,v2_repair_only,original,0.0,1,1.0,0.5044444444444445,0.29555555555555557,0.3039647577092511,0.19603524229074892,316,13.033510471243794,51.748750867173094,115.02219730373844,1723.6084504143723,0,False,False,False,below_target
delivery_window_original,oracle_best_acceptance,original,0.0,1,1.0,0.5788888888888889,0.22111111111111115,0.31094049904030713,0.18905950095969287,359,39.06304242876228,127.04264609392843,138.82141825420436,2263.53368229419,0,False,False,False,below_target
delivery_window_original,oracle_best_on_time,original,0.0,1,1.0,0.5733333333333334,0.22666666666666668,0.34108527131782945,0.15891472868217055,340,26.524330685990908,74.60597936196625,125.60425232012611,1997.479966275394,0,False,False,False,below_target
delivery_window_original,tail_risk_constrained_joint_beam,original,0.0,1,1.0,0.5244444444444445,0.27555555555555555,0.3241525423728814,0.17584745762711862,319,12.837166596299626,35.93654589246437,112.03286860151536,1650.194940149784,0,False,False,False,anchor_locked_safety_reference
delivery_window_plus_1.0,raw_baseline,original,1.0,1,1.0,0.5133333333333333,0.28666666666666674,0.34415584415584416,0.15584415584415584,303,11.954804814360624,39.40155554151371,109.22325048867735,1607.05419588089,0,False,False,False,below_target
delivery_window_plus_1.0,v2_repair_only,original,1.0,1,1.0,0.5022222222222222,0.2977777777777778,0.34292035398230086,0.15707964601769914,297,12.812615633167619,49.215159508360664,110.80973150829809,1656.6749457882174,0,False,False,False,below_target
delivery_window_plus_1.0,oracle_best_acceptance,original,1.0,1,1.0,0.5955555555555555,0.20444444444444454,0.34701492537313433,0.15298507462686567,350,37.04875556916318,113.93200161625458,142.73536760241905,2302.4487516209483,0,False,False,False,below_target
delivery_window_plus_1.0,oracle_best_on_time,original,1.0,1,1.0,0.5666666666666667,0.2333333333333334,0.37254901960784315,0.12745098039215685,320,25.326218544179124,79.45249380943525,124.29082662336852,1977.0695868954062,0,False,False,False,below_target
delivery_window_plus_1.0,tail_risk_constrained_joint_beam,original,1.0,1,1.0,0.5133333333333333,0.28666666666666674,0.34415584415584416,0.15584415584415584,303,11.954804814360624,39.40155554151371,109.22325048867735,1607.05419588089,0,False,False,False,anchor_locked_safety_reference
delivery_window_plus_2.0,raw_baseline,original,2.0,1,1.0,0.5144444444444445,0.28555555555555556,0.3779697624190065,0.12203023758099352,288,11.673427384990964,32.34310452823001,109.20888241848311,1607.8738131523132,0,False,False,False,below_target
delivery_window_plus_2.0,v2_repair_only,original,2.0,1,1.0,0.5022222222222222,0.2977777777777778,0.3805309734513274,0.11946902654867259,280,12.246956718199646,42.524615547687745,109.86027969050161,1638.6728686988354,0,False,False,False,below_target
delivery_window_plus_2.0,oracle_best_acceptance,original,2.0,1,1.0,0.5777777777777777,0.22222222222222232,0.38846153846153847,0.11153846153846153,318,35.85298979545028,116.13047908309002,140.08614122293332,2266.479505993426,0,False,False,False,below_target
delivery_window_plus_2.0,oracle_best_on_time,original,2.0,1,1.0,0.5611111111111111,0.23888888888888893,0.403960396039604,0.09603960396039601,301,24.745315480171712,91.41309597410815,124.775883032886,1981.178744725883,0,False,False,False,below_target
delivery_window_plus_2.0,tail_risk_constrained_joint_beam,original,2.0,1,1.0,0.5144444444444445,0.28555555555555556,0.3779697624190065,0.12203023758099352,288,11.673427384990964,32.34310452823001,109.20888241848311,1607.8738131523132,0,False,False,False,anchor_locked_safety_reference
delivery_window_plus_3.0,raw_baseline,original,3.0,1,1.0,0.5122222222222222,0.2877777777777778,0.40997830802603036,0.09002169197396964,272,11.398348181010832,31.34310357455569,109.4651877930043,1613.3227962255478,0,False,False,False,below_target
delivery_window_plus_3.0,v2_repair_only,original,3.0,1,1.0,0.5033333333333333,0.29666666666666675,0.4304635761589404,0.06953642384105962,258,12.345045499116996,41.85847753975472,109.48541566100685,1637.23011441691,0,False,False,False,below_target
delivery_window_plus_3.0,oracle_best_acceptance,original,3.0,1,1.0,0.5877777777777777,0.2122222222222223,0.42722117202268434,0.07277882797731566,303,30.596477667339876,93.6360029340166,130.3537357376956,2078.2489958181977,0,False,False,False,below_target
delivery_window_plus_3.0,oracle_best_on_time,original,3.0,1,1.0,0.5433333333333333,0.2566666666666667,0.4560327198364008,0.04396728016359919,266,23.96766908836646,81.25966239184879,127.96134074616592,2021.8285756334662,0,False,False,False,below_target
delivery_window_plus_3.0,tail_risk_constrained_joint_beam,original,3.0,1,1.0,0.5122222222222222,0.2877777777777778,0.40997830802603036,0.09002169197396964,272,11.398348181010832,31.34310357455569,109.4651877930043,1613.3227962255478,0,False,False,False,anchor_locked_safety_reference
delivery_window_plus_4.0,raw_baseline,original,4.0,1,1.0,0.5133333333333333,0.28666666666666674,0.45454545454545453,0.04545454545454547,252,11.308547357029957,30.34310357455569,109.55060187455348,1620.5960665941238,0,False,False,False,below_target
delivery_window_plus_4.0,v2_repair_only,original,4.0,1,1.0,0.5077777777777778,0.29222222222222227,0.4551422319474836,0.0448577680525164,249,11.799301095086406,37.432468585763324,108.67354731909151,1613.8005089627036,0,False,False,False,below_target
delivery_window_plus_4.0,oracle_best_acceptance,original,4.0,1,1.0,0.5933333333333334,0.20666666666666667,0.4550561797752809,0.0449438202247191,291,28.93436269964026,108.78282538523823,134.2980001190044,2141.558844342828,0,False,False,False,below_target
delivery_window_plus_4.0,oracle_best_on_time,original,4.0,1,1.0,0.5411111111111111,0.25888888888888895,0.4784394250513347,0.021560574948665312,254,24.260011384410024,68.49058265314156,127.32224298934793,2020.8902200907469,0,False,False,False,below_target
delivery_window_plus_4.0,tail_risk_constrained_joint_beam,original,4.0,1,1.0,0.5133333333333333,0.28666666666666674,0.45454545454545453,0.04545454545454547,252,11.308547357029957,30.34310357455569,109.55060187455348,1620.5960665941238,0,False,False,False,anchor_locked_safety_reference
delivery_window_plus_5.0,raw_baseline,original,5.0,1,1.0,0.5144444444444445,0.28555555555555556,0.47300215982721383,0.02699784017278617,244,10.764999986357065,29.34310357455569,109.56169253280225,1609.1449765861034,0,False,False,False,below_target
delivery_window_plus_5.0,v2_repair_only,original,5.0,1,1.0,0.5066666666666667,0.29333333333333333,0.4934210526315789,0.006578947368421073,231,11.097426303206321,31.402141531623535,106.67773301005624,1572.9003475622662,0,False,False,False,below_target
delivery_window_plus_5.0,oracle_best_acceptance,original,5.0,1,1.0,0.6055555555555555,0.19444444444444453,0.47706422018348627,0.022935779816513735,285,29.330652484442027,108.88122666404638,141.7943307996813,2243.046228669584,0,False,False,False,below_target
delivery_window_plus_5.0,oracle_best_on_time,original,5.0,1,1.0,0.5566666666666666,0.2433333333333334,0.5029940119760479,-0.0029940119760478723,249,23.76315397074497,70.0736818141171,132.15272923830128,2075.7244380638003,0,False,True,False,on_time_target_only
delivery_window_plus_5.0,tail_risk_constrained_joint_beam,original,5.0,1,1.0,0.5144444444444445,0.28555555555555556,0.47300215982721383,0.02699784017278617,244,10.764999986357065,29.34310357455569,109.56169253280225,1609.1449765861034,0,False,False,False,anchor_locked_safety_reference
delivery_window_plus_8.0,raw_baseline,original,8.0,1,1.0,0.5122222222222222,0.2877777777777778,0.5553145336225597,-0.05531453362255967,205,9.51787238865887,26.787632485716344,109.70836184457903,1609.353744879365,0,False,True,False,on_time_target_only
delivery_window_plus_8.0,v2_repair_only,original,8.0,1,1.0,0.5033333333333333,0.29666666666666675,0.5783664459161147,-0.07836644591611475,191,10.617317620110246,33.92542858402996,106.61240486440842,1598.6099516616591,0,False,True,False,on_time_target_only
delivery_window_plus_8.0,oracle_best_acceptance,original,8.0,1,1.0,0.6,0.20000000000000007,0.5574074074074075,-0.05740740740740746,239,23.8023190518249,102.43545476057234,134.84706173751795,2122.2222142368555,0,False,True,False,on_time_target_only
delivery_window_plus_8.0,oracle_best_on_time,original,8.0,1,1.0,0.5555555555555556,0.24444444444444446,0.562,-0.062000000000000055,219,21.75343610002874,62.05245458874953,128.0315487287205,2020.8282317013868,0,False,True,False,on_time_target_only
delivery_window_plus_8.0,tail_risk_constrained_joint_beam,original,8.0,1,1.0,0.5122222222222222,0.2877777777777778,0.5553145336225597,-0.05531453362255967,205,9.51787238865887,26.787632485716344,109.70836184457903,1609.353744879365,0,False,True,False,anchor_locked_safety_reference
delivery_window_plus_10.0,raw_baseline,original,10.0,1,1.0,0.51,0.29000000000000004,0.6078431372549019,-0.10784313725490191,180,8.688696207863707,24.787632485716344,109.48245597729198,1609.6526241973042,0,False,True,False,on_time_target_only
delivery_window_plus_10.0,v2_repair_only,original,10.0,1,1.0,0.5111111111111111,0.288888888888889,0.6260869565217392,-0.12608695652173918,172,9.200889264772522,29.865770850165376,108.04927084693364,1613.9575494229794,0,False,True,False,on_time_target_only
delivery_window_plus_10.0,oracle_best_acceptance,original,10.0,1,1.0,0.5922222222222222,0.20777777777777784,0.6135084427767354,-0.11350844277673544,206,22.022702559497,97.20793108764502,131.5462274627509,2065.2546439783105,0,False,True,False,on_time_target_only
delivery_window_plus_10.0,oracle_best_on_time,original,10.0,1,1.0,0.5711111111111111,0.22888888888888892,0.6167315175097277,-0.11673151750972766,197,21.282082977733978,60.226145660750944,133.90569257518266,2090.89115201099,0,False,True,False,on_time_target_only
delivery_window_plus_10.0,tail_risk_constrained_joint_beam,original,10.0,1,1.0,0.51,0.29000000000000004,0.6078431372549019,-0.10784313725490191,180,8.688696207863707,24.787632485716344,109.48245597729198,1609.6526241973042,0,False,True,False,anchor_locked_safety_reference
resource_count_1,raw_baseline,original,0.0,1,1.0,0.5244444444444445,0.27555555555555555,0.3241525423728814,0.17584745762711862,319,12.837166596299626,35.93654589246437,112.03286860151536,1650.194940149784,0,False,False,False,below_target
resource_count_1,v2_repair_only,original,0.0,1,1.0,0.5044444444444445,0.29555555555555557,0.3039647577092511,0.19603524229074892,316,13.033510471243794,51.748750867173094,115.02219730373844,1723.6084504143723,0,False,False,False,below_target
resource_count_1,oracle_best_acceptance,original,0.0,1,1.0,0.5788888888888889,0.22111111111111115,0.31094049904030713,0.18905950095969287,359,38.40405297126717,127.04264609392843,136.40535180728799,2227.678242094815,0,False,False,False,below_target
resource_count_1,oracle_best_on_time,original,0.0,1,1.0,0.5733333333333334,0.22666666666666668,0.34108527131782945,0.15891472868217055,340,26.524330685990908,74.60597936196625,125.60425232012611,1997.479966275394,0,False,False,False,below_target
